cid,store_hash
819,2589e17ee7a2cedfc5041e979954fbcf
1280,6f43b4096acf6a26c9a8052f3f3623d1
1472,7a67c1fee7ceed0a2d6fa5ec11fe2615
2687,32dd842e9c1d4c4aa06b43a9161883f3
3125,251459f94963d72e5eed3a1c628f7391
3525,059f2e333a6f4244993ae6f6e8133039
4789,2b91bd23abafe2deb6cf267b30c1b05c
5346,f6a72a0d43f11bb3626a418762a54439
5814,8336b6cfa0a7cf65aa4f8c687f18cfdd
5975,9ca7d9920b91d92a13bae1f79b76e152
5983,c2e36b85b9102d3f17da4d38f18c3543
6009,7b7053947dd4a234cdd2dbe07beb159e
6054,c67731ef70e7b27da33936f546f6850a
6066,848e5a99c34e880e05495ac1c0bab576
6100,8a7c5af85b3c36434082e6335fb29708
13396,67d03c49288d96fc00297c5cf21f4e90
13419,b13033f816cf0b5d7d458989e80c9761
13424,35a9d55e9d7f9b24082410036c93986b
13432,e21e7b5b641829f511f7d97889b8cfb7
13434,f711c0e555caf7333286ba71f47a688a
13444,c98be8ef1624e9bf21fe372a2f31e8f5
13445,953b385ef54fc6bc48e2ad873dfa1304
13454,dac798a3414a86805a8760785880b770
13458,0ecdbd3145375653963ad96ac1056051
13470,c5785c285d8db1acb3051417982c9d6b
13498,88ee9517d41c883a459fe9971a388de7
13522,cc38478adac006c9e7e34657fe0368b6
13530,197e9210db5bdda39c8168092a8681e9
13538,f73e52d5ab4096d831a04315b4ad8e51
13555,b9a36b11cda8989a356db64aa3af6b4d
13560,3e73cfd79f1a467ea6190ecf1f1e782c
13562,49afea3ca6c5d862f30397b3d7a939bd
13566,f33f80d49c8df47baf7abce97d899682
13771,e36fd58987e4eac3fe01011376580ce0
13794,d20b9970b7baf49f92cd55abe81eb1bc
14982,700264842206d897c1b970ab81919824
16059,075d549abb5a25d95f6338b16f5045f1
21107,1c7b9814958f2ab7d4e62159363c75fa
21289,7a8a5dcbc2b0eae0da7a6386f9ad0789
21663,0efa9c0500f0844013f0068c474d0c36
21906,ee418e8fd271e716d85631cb3faa1a0e
21993,b27de557a19231d3109d77c6cc76648f
23439,07bf08dceda7570347f004bb484b775d
